1;1;Real Madrid;0;0;0;7.2;05/01/2026
2;1;Barcelona;0;0;0;6.8;12/01/2026
3;2;Pumas;0;0;0;7.0;15/01/2026
4;3;Toluca;0;0;0;7.1;18/01/2026
5;4;Sevilla;0;0;1;7.5;22/01/2026
6;5;Juventus;0;0;0;7.3;25/01/2026
7;6;Tigres;1;1;0;8.0;28/01/2026
8;7;Benfica;0;1;0;7.4;30/01/2026
9;8;Chivas;0;0;0;6.9;02/02/2026
10;9;Manchester City;1;1;0;8.5;05/02/2026
11;10;Monterrey;0;2;1;7.8;08/02/2026
12;11;Pachuca;1;0;0;7.6;12/02/2026
13;12;Panathinaikos;0;1;0;7.2;15/02/2026
14;13;Zenit;1;0;0;7.7;18/02/2026
15;14;Atlas;0;0;0;6.5;22/02/2026
16;15;Leon;0;0;0;7.0;25/02/2026
17;16;Ajax;2;1;0;9.0;01/03/2026
18;17;PSV;1;0;0;8.2;05/03/2026
19;18;Cruz Azul;0;0;1;7.3;08/03/2026
20;19;Santos Laguna;1;1;0;7.9;12/03/2026
21;20;Necaxa;0;0;0;6.8;15/03/2026
22;21;Chelsea;0;0;0;7.2;18/03/2026
23;22;Monterrey;1;0;0;7.6;22/03/2026
24;23;Toluca;0;1;0;7.4;25/03/2026
25;24;Sparta Praga;0;0;0;7.1;28/03/2026
26;25;Dortmund;0;0;0;6.9;01/04/2026
27;26;Sturm Graz;0;0;0;6.5;05/04/2026
28;27;Arsenal;0;1;1;7.6;08/04/2026
29;28;Slavia Praga;0;0;0;7.2;12/04/2026
30;29;Baník Ostrava;1;0;0;8.0;15/04/2026
31;30;Bohemians;0;0;1;7.0;18/04/2026
32;31;Slovan Liberec;0;0;0;7.3;22/04/2026
33;32;Hoffenheim;0;1;0;7.5;25/04/2026
34;33;Manchester Utd;1;0;0;8.1;28/04/2026
35;34;Milan;1;1;0;8.3;02/05/2026
36;35;Utrecht;0;0;1;6.8;05/05/2026
37;36;Sigma Olomouc;0;1;0;7.2;09/05/2026
38;37;Feyenoord;1;0;0;7.7;12/05/2026
39;38;Slovácko;0;1;0;7.4;15/05/2026
40;39;Sparta Praga;0;0;0;6.9;19/05/2026
41;40;Wolfsburg;0;0;0;7.1;22/05/2026
42;41;Leipzig;2;0;0;9.2;26/05/2026
43;42;Bochum;1;1;0;7.9;29/05/2026
44;43;Teplice;0;0;1;6.7;01/06/2026
45;44;Jablonec;0;0;0;7.0;05/06/2026
46;45;Viktoria Plzeň;0;0;0;7.3;08/06/2026
47;46;Mladá Boleslav;0;0;0;6.8;12/06/2026
48;47;Jeonbuk;0;0;0;7.2;15/06/2026
49;48;Kashima;0;0;0;6.9;19/06/2026
50;49;Daejeon;0;0;0;6.5;22/06/2026
51;50;Real Madrid;0;0;1;7.6;26/06/2026
52;51;Suwon;1;0;0;7.8;29/06/2026
53;52;Al-Hilal;0;0;0;7.1;03/07/2026
54;53;Daegu;0;1;0;7.4;06/07/2026
55;54;Incheon;0;0;1;6.8;10/07/2026
56;55;Seoul;0;0;0;7.0;13/07/2026
57;56;Pohang;0;0;0;7.2;17/07/2026
58;57;Partizan;1;1;0;8.0;20/07/2026
59;58;Frankfurt;1;0;0;7.9;24/07/2026
60;59;Al-Jazira;0;0;1;7.0;27/07/2026
61;60;Antwerp;0;1;0;7.3;31/07/2026
62;61;Suwon;0;0;0;6.8;03/08/2026
63;62;Hoffenheim;0;1;0;7.5;07/08/2026
64;63;Tottenham;3;1;0;9.8;10/08/2026
65;64;Dortmund;1;2;0;8.8;14/08/2026
66;65;Fulham;1;0;0;8.1;17/08/2026
67;66;Copenhagen;1;0;1;7.6;21/08/2026
68;67;Hearts;0;0;0;7.0;24/08/2026
69;68;Aberdeen;0;1;0;7.2;28/08/2026
70;69;Daegu;1;0;0;7.5;01/09/2026
71;70;Pirates;0;0;0;7.4;04/09/2026
72;71;Kaizer Chiefs;0;0;0;6.7;08/09/2026
73;72;Sundowns;0;0;0;6.5;11/09/2026
74;73;Cape Town;0;0;0;7.1;15/09/2026
75;74;Stellenbosch;0;0;1;6.9;18/09/2026
76;75;Royal AM;0;0;0;7.0;22/09/2026
77;76;Sekhukhune;0;1;0;7.3;25/09/2026
78;77;AmaZulu;0;0;0;6.8;29/09/2026
79;78;Chiefs;1;0;0;7.7;02/10/2026
80;79;Pirates;0;0;1;7.0;06/10/2026
81;80;Pirates;0;1;0;7.8;09/10/2026
82;81;Portimonense;0;0;1;7.1;13/10/2026
83;82;Kaizer;0;1;0;7.4;16/10/2026
84;83;Sundowns;1;0;0;7.6;20/10/2026
85;84;Chiefs;0;0;0;7.0;23/10/2026
86;85;Pirates;0;0;1;6.9;27/10/2026
87;86;Pirates;1;1;0;8.2;30/10/2026
88;87;Zamalek;2;0;0;8.9;03/11/2026
89;88;Chiefs;0;1;0;7.5;06/11/2026
90;92;Sundowns;1;0;0;7.6;10/11/2026
3107;34;México;1;0;0;7.5;17/06/2026
3108;35;México;1;0;0;7.5;17/06/2026
3109;16;Chéquia;1;0;0;7.5;17/06/2026
